Display_Name,Rho,P_Value,Type
绿原酸,0.8363314205540182,5.583288435327523e-16,Positive (Promoting)
蔗糖,0.815246344789527,1.166182439389505e-14,Positive (Promoting)
芸香苷,0.8115321275971666,1.913835405829538e-14,Positive (Promoting)
葡萄糖,0.7948133780780594,1.5660708453932908e-13,Positive (Promoting)
总糖,0.7728519498723884,1.877935768406932e-12,Positive (Promoting)
异戊酰胺,-0.7659731463019435,3.865664300504986e-12,Negative (Suppressing)
DDMP,0.7550547101593962,1.157780728278997e-11,Positive (Promoting)
糖碱比,0.7538525512141716,1.3018665674077313e-11,Positive (Promoting)
果糖,0.7502232149896461,1.847609278066896e-11,Positive (Promoting)
还原糖,0.743415191639413,3.507174023086921e-11,Positive (Promoting)
两糖差,0.7413651269095548,4.2371800711827985e-11,Positive (Promoting)
尼可他因,-0.7399557199065786,4.82047306777312e-11,Negative (Suppressing)
脯氨酸,0.7396362510048718,4.9629076865018e-11,Positive (Promoting)
菠萝呋喃酮,0.7366409162451143,6.50766051631101e-11,Positive (Promoting)
草酸,-0.7214060655756352,2.4454000792951917e-10,Negative (Suppressing)
二氢猕猴桃内酯2,-0.6821818392174384,5.116115580012975e-9,Negative (Suppressing)
柠檬酸,-0.681669451428278,5.306949674395692e-9,Negative (Suppressing)
棕榈酸,0.6755386595312571,8.179055426522915e-9,Positive (Promoting)
油酸,0.6701215047862705,1.1885874819632733e-8,Positive (Promoting)
肌醇,0.6616821160678327,2.0957412888729526e-8,Positive (Promoting)
糠醛,0.6545468579026201,3.3386625119515227e-8,Positive (Promoting)
三羟基丁酸,0.6408078910609863,7.912074875694779e-8,Positive (Promoting)
丙酸,0.6389454189208976,8.86462080346087e-8,Positive (Promoting)
柠檬酸2,-0.6378176600718793,9.492785151938511e-8,Negative (Suppressing)
总氮,-0.6279803388530665,1.7050123227890457e-7,Negative (Suppressing)
亚油酸,0.623702651851684,2.185653239094675e-7,Positive (Promoting)
麦司明,-0.6145864154380003,3.6652224968126784e-7,Negative (Suppressing)
5-甲基糠醛,0.6053423195756492,6.090214109645507e-7,Positive (Promoting)
beta-紫罗兰酮,-0.6033899912235393,6.765802453228512e-7,Negative (Suppressing)
吲哚,-0.5905517661958872,1.3283564817283031e-6,Negative (Suppressing)
苯乙醇,-0.5904868953477305,1.3327942500639354e-6,Negative (Suppressing)
4-乙烯基愈创木酚,0.5707661575080478,3.55545641532109e-6,Positive (Promoting)
糠醇,0.5681388881576954,4.032729144543182e-6,Positive (Promoting)
乙酸,0.5577595524525993,6.564188461836049e-6,Positive (Promoting)
3-甲基吲哚,-0.5320433935126961,2.0505755860207193e-5,Negative (Suppressing)
吡咯,-0.5296056043525263,2.2735236852544632e-5,Negative (Suppressing)
3-甲基-2-环戊烯酮,0.5265891099132328,2.5804029481848273e-5,Positive (Promoting)
"2,3-二甲基-2-环戊烯酮",0.5241564531073509,2.8553073114253742e-5,Positive (Promoting)
尼古丁2,-0.521068654168224,3.2432124532747616e-5,Negative (Suppressing)
2-环戊烯酮,0.5099173019369222,5.0858323990966346e-5,Positive (Promoting)
"2,3'-联吡啶",-0.5078089993718246,5.527672373816501e-5,Negative (Suppressing)
尼古丁,-0.5002677548633117,7.413585115491411e-5,Negative (Suppressing)
巨豆三烯酮,-0.49489114590951594,9.101516271442204e-5,Negative (Suppressing)
二氢猕猴桃内酯,-0.45787932816083454,3.4187028733323184e-4,Negative (Suppressing)
"2,6-二甲基苯酚",-0.4570010798394893,3.5214554842073276e-4,Negative (Suppressing)
喹啉,-0.4430495660863665,5.577794506857097e-4,Negative (Suppressing)
3-甲基戊酸,-0.42324984879937017,0.001036864726849887,Negative (Suppressing)
1-茚酮,-0.415567613105018,0.0013058509041970726,Negative (Suppressing)
苯甲醇,-0.37449940640949714,0.0041045415904746654,Negative (Suppressing)
丙二酸,-0.37020527255731644,0.0045892514635854035,Negative (Suppressing)
乳酸,0.2721201822874705,0.04058289856921034,Positive (Promoting)
