Display_Name,Computational_Name,Cohort
样品编号,样品编号,N18
Sourness_Score,Sourness_Score,N18
尼古丁,尼古丁,N18
总糖,总糖,N18
还原糖,还原糖,N18
总氮,总氮,N18
总钾,总钾,N18
总氯,总氯,N18
糖碱比,糖碱比,N18
氮碱比,氮碱比,N18
两糖比,两糖比,N18
两糖差,两糖差,N18
钾氯比,钾氯比,N18
苹果酸,苹果酸,N18
草酸,草酸,N18
柠檬酸,柠檬酸,N18
丙二酸,丙二酸,N18
棕榈酸,棕榈酸,N18
硬脂酸,硬脂酸,N18
油酸,油酸,N18
亚油酸,亚油酸,N18
绿原酸,绿原酸,N18
莨菪亭,莨菪亭,N18
芸香苷,芸香苷,N18
叶黄素,叶黄素,N18
胡萝卜素,胡萝卜素,N18
茄酮,茄酮,N18
香叶基丙酮,香叶基丙酮,N18
beta-紫罗兰酮,beta.紫罗兰酮,N18
氧化紫罗兰酮,氧化紫罗兰酮,N18
降茄二酮,降茄二酮,N18
3-羟基-β-二氢大马酮,X3.羟基.β.二氢大马酮,N18
3-氧代-α-紫罗兰醇,X3.氧代.α.紫罗兰醇,N18
巨豆三烯酮,巨豆三烯酮,N18
二氢猕猴桃内酯,二氢猕猴桃内酯,N18
新植二烯,新植二烯,N18
丙酮,丙酮,N18
"2,4-二甲基-3-戊醇",X2.4.二甲基.3.戊醇,N18
叔丁醇,叔丁醇,N18
吡啶,吡啶,N18
3-羟基-2-丁酮,X3.羟基.2.丁酮,N18
羟基丙酮,羟基丙酮,N18
2-环戊烯酮,X2.环戊烯酮,N18
1-羟基-2-丁酮,X1.羟基.2.丁酮,N18
乙酸,乙酸,N18
乙二醇二乙酸酯,乙二醇二乙酸酯,N18
乙酰氧基丙酮,乙酰氧基丙酮,N18
糠醛,糠醛,N18
2-乙酰基呋喃,X2.乙酰基呋喃,N18
丙酸,丙酸,N18
异丁酸,异丁酸,N18
2-羟基丙基乙酸酯,X2.羟基丙基乙酸酯,N18
5-甲基糠醛,X5.甲基糠醛,N18
"2,3-丁二醇",X2.3.丁二醇,N18
"4-环戊烯-1,3-二酮",X4.环戊烯.1.3.二酮,N18
丙二醇,丙二醇,N18
1-羟基丙-2-基乙酸酯,X1.羟基丙.2.基乙酸酯,N18
γ-丁内酯,γ.丁内酯,N18
丙烯酸,丙烯酸,N18
糠醇,糠醇,N18
2-甲基丁酸,X2.甲基丁酸,N18
5-甲基-2(5H)-呋喃酮,X5.甲基.2.5H..呋喃酮,N18
N-甲基吡咯烷酮,N.甲基吡咯烷酮,N18
3-甲基-2-(5H)-呋喃酮,X3.甲基.2..5H..呋喃酮,N18
γ-松油烯,γ.松油烯,N18
2(5H)-呋喃酮,X2.5H..呋喃酮,N18
乙酰胺,乙酰胺,N18
"1,2-环戊二酮",X1.2.环戊二酮,N18
甲基苯乙酮,甲基苯乙酮,N18
3-甲基戊酸,X3.甲基戊酸,N18
"3-甲氧基-1,2-丙二醇",X3.甲氧基.1.2.丙二醇,N18
2-环己烯醇,X2.环己烯醇,N18
草酰胺,草酰胺,N18
甲基环戊烯醇酮,甲基环戊烯醇酮,N18
2-甲基-5-(甲硫基)呋喃,X2.甲基.5..甲硫基.呋喃,N18
对甲氧基苯酚,对甲氧基苯酚,N18
异巴比妥酸,异巴比妥酸,N18
尼古丁2,尼古丁2,N18
紫罗醇,紫罗醇,N18
苯乙醇,苯乙醇,N18
新植二烯2,新植二烯2,N18
甲基麦芽酚,甲基麦芽酚,N18
2-乙酰基吡咯,X2.乙酰基吡咯,N18
苯酚,苯酚,N18
羟基乙酰呋喃,羟基乙酰呋喃,N18
2-吡咯甲醛,X2.吡咯甲醛,N18
呋喃酮,呋喃酮,N18
"2,3-二氢-2-甲基苯并呋喃",X2.3.二氢.2.甲基苯并呋喃,N18
2-吡咯烷酮,X2.吡咯烷酮,N18
三乙酸甘油酯,三乙酸甘油酯,N18
2-羟基-丁酸酮,X2.羟基.丁酸酮,N18
5-乙酰氧基甲基-2-糠醛,X5.乙酰氧基甲基.2.糠醛,N18
西柏烯,西柏烯,N18
对乙烯基愈疮木酚,对乙烯基愈疮木酚,N18
巨豆三烯酮2,巨豆三烯酮2,N18
棕榈酸甲酯,棕榈酸甲酯,N18
"3-羟基丙烷-1,2-二乙酸二酯",X3.羟基丙烷.1.2.二乙酸二酯,N18
DDMP,DDMP,N18
乙酸甘油酯,乙酸甘油酯,N18
龙涎酮,龙涎酮,N18
对羟基苯乙烯,对羟基苯乙烯,N18
3-羟基吡啶,X3.羟基吡啶,N18
5-羟甲基糠醛,X5.羟甲基糠醛,N18
