Chemical,N_Valid,N_Zero,Mean,SD,Median,Min,Max,CV_Percent,Format_Mean_SD,Format_Median_Range
叶黄素,57,0,54.865336842105265,34.43851814527921,47.599,2.123,150.301,62.77,54.87 ± 34.44,47.6 (2.12-150.3)
苹果酸,57,0,44.510035087719295,18.675174628189954,42.5684,14.2698,102.7085,41.96,44.51 ± 18.68,42.57 (14.27-102.71)
新植二烯,57,0,29.32528947368421,11.035279165422857,29.2926,0.2956,56.5404,37.63,29.33 ± 11.04,29.29 (0.3-56.54)
柠檬酸,57,0,19.955540350877193,22.800541243731313,7.34,2.22,85.1996,114.26,19.96 ± 22.8,7.34 (2.22-85.2)
胡萝卜素,53,4,18.50041403508772,12.985612053324338,17.603,0,51.815,70.19,18.5 ± 12.99,17.6 (0-51.81)
总糖,51,6,15.884035087719298,13.01743801044928,18.2,0,38.79,81.95,15.88 ± 13.02,18.2 (0-38.79)
草酸,57,0,14.411768421052631,6.71275312167492,12.56,5.4886,38.656,46.58,14.41 ± 6.71,12.56 (5.49-38.66)
还原糖,46,11,12.72982456140351,10.340170537974021,15.25,0,31.32,81.23,12.73 ± 10.34,15.25 (0-31.32)
糖碱比,57,0,8.10280701754386,9.33243207360875,6.31,0.01,43.2,115.18,8.1 ± 9.33,6.31 (0.01-43.2)
芸香苷,57,0,6.983489473684211,5.773092786728179,7.757,0.025,19.685,82.67,6.98 ± 5.77,7.76 (0.03-19.68)
绿原酸,55,2,6.859722807017544,6.119662663643477,6.449,0,18.294,89.21,6.86 ± 6.12,6.45 (0-18.29)
尼古丁3,57,0,5.868889543859649,2.1439346204112835,5.793637,1.146645,9.563902,36.53,5.87 ± 2.14,5.79 (1.15-9.56)
葡萄糖,57,0,5.371564912280702,4.612578678984056,5.9237,0.0025,14.2558,85.87,5.37 ± 4.61,5.92 (0-14.26)
钾氯比,57,0,5.134912280701754,4.049631430674991,4.09,0.38,19.64,78.86,5.13 ± 4.05,4.09 (0.38-19.64)
3-氧代-α-紫罗兰醇,57,0,4.984859649122807,4.105716311822355,3.8717,0.2182,16.093,82.36,4.98 ± 4.11,3.87 (0.22-16.09)
果糖,57,0,3.837645614035088,3.099223175944381,4.9887,0.0172,8.8692,80.76,3.84 ± 3.1,4.99 (0.02-8.87)
尼古丁,57,0,3.2180701754385965,1.713089771849695,2.73,0.5,7.55,53.23,3.22 ± 1.71,2.73 (0.5-7.55)
两糖差,57,0,3.17,3.4509527669905884,1.1,0.01,14.71,108.86,3.17 ± 3.45,1.1 (0.01-14.71)
总氮,57,0,2.8994736842105264,1.218342581795671,2.36,1.37,5.78,42.02,2.9 ± 1.22,2.36 (1.37-5.78)
丙二酸,57,0,2.586161403508772,0.921697354603836,2.3647,0.8246,5.39,35.64,2.59 ± 0.92,2.36 (0.82-5.39)
蔗糖,57,0,2.4492017543859648,3.06388013050511,0.5984,0.0013,15.1774,125.1,2.45 ± 3.06,0.6 (0-15.18)
总钾,57,0,2.373684210526316,1.335620015972982,1.91,0.51,7.07,56.27,2.37 ± 1.34,1.91 (0.51-7.07)
尼古丁2,57,0,1.2861631578947368,0.7206193077167273,1.0507,0.1439,3.2687,56.03,1.29 ± 0.72,1.05 (0.14-3.27)
棕榈酸,57,0,1.28459649122807,0.5201234667862568,1.4,0.25,2.2668,40.49,1.28 ± 0.52,1.4 (0.25-2.27)
苹果酸2,57,0,1.2547280701754386,0.4877823361011351,1.2801,0.2079,2.5628,38.88,1.25 ± 0.49,1.28 (0.21-2.56)
Sourness_Score,57,0,1.1301754385964913,1.1701411563629989,0.35,0.1,3.87,103.54,1.13 ± 1.17,0.35 (0.1-3.87)
二氢猕猴桃内酯,57,0,1.0943736842105263,0.5831639721401312,0.9356,0.256,2.6766,53.29,1.09 ± 0.58,0.94 (0.26-2.68)
氮碱比,57,0,1.0694736842105264,0.6418873428431625,0.88,0.45,4.32,60.02,1.07 ± 0.64,0.88 (0.45-4.32)
总氯,57,0,0.8315789473684211,0.8938116401794624,0.48,0.11,3.79,107.48,0.83 ± 0.89,0.48 (0.11-3.79)
两糖比,53,4,0.6526315789473685,0.3366034457625889,0.79,0,1,51.58,0.65 ± 0.34,0.79 (0-1)
亚油酸,57,0,0.6506964912280702,0.26453619855250726,0.6663,0.1445,1.17,40.65,0.65 ± 0.26,0.67 (0.14-1.17)
肌醇,57,0,0.6237,0.48933953009570536,0.7457,0.0011,1.3495,78.46,0.62 ± 0.49,0.75 (0-1.35)
糠醇,57,0,0.4102301052631579,0.32756956895469896,0.430583,0.023588,1.024044,79.85,0.41 ± 0.33,0.43 (0.02-1.02)
巨豆三烯酮,57,0,0.4062210526315789,0.2937530721643861,0.3031,0.1197,1.2296,72.31,0.41 ± 0.29,0.3 (0.12-1.23)
脯氨酸,57,0,0.3855842105263158,0.3059422960236793,0.3455,0.0011,1.2498,79.35,0.39 ± 0.31,0.35 (0-1.25)
油酸,57,0,0.37856666666666666,0.16387768013862977,0.3739,0.0226,0.7741,43.29,0.38 ± 0.16,0.37 (0.02-0.77)
乳酸,51,6,0.2816,0.23218799495236614,0.33,0,1.4417,82.45,0.28 ± 0.23,0.33 (0-1.44)
磷酸,57,0,0.2478140350877193,0.08659015417181531,0.2468,0.0862,0.5387,34.94,0.25 ± 0.09,0.25 (0.09-0.54)
氧化紫罗兰酮,57,0,0.23406315789473683,0.0979978892476388,0.226,0.0955,0.6301,41.87,0.23 ± 0.1,0.23 (0.1-0.63)
三羟基丁酸,57,0,0.2283578947368421,0.10577444490749513,0.2381,0.0126,0.4835,46.32,0.23 ± 0.11,0.24 (0.01-0.48)
降茄二酮,57,0,0.21274736842105263,0.13993509605893212,0.191,0.0133,0.6923,65.78,0.21 ± 0.14,0.19 (0.01-0.69)
硬脂酸,57,0,0.20924912280701755,0.11549329467673965,0.2221,0.01,0.43,55.19,0.21 ± 0.12,0.22 (0.01-0.43)
乙酸,57,0,0.16654319298245615,0.15536551019283512,0.163873,0.004656,0.686546,93.29,0.17 ± 0.16,0.16 (0-0.69)
3-羟基-β-二氢大马酮,57,0,0.1603561403508772,0.07273947645424109,0.154,0.0312,0.3607,45.36,0.16 ± 0.07,0.15 (0.03-0.36)
柠檬酸2,57,0,0.14790701754385965,0.18436078260888458,0.0563,0.0194,0.7497,124.65,0.15 ± 0.18,0.06 (0.02-0.75)
苯酚,57,0,0.12274133333333333,0.05821349949334694,0.115811,0.039996,0.309143,47.43,0.12 ± 0.06,0.12 (0.04-0.31)
糠醛,57,0,0.11583298245614035,0.0919839686796197,0.131219,0.003294,0.322728,79.41,0.12 ± 0.09,0.13 (0-0.32)
莨菪亭,57,0,0.09920877192982457,0.06524654692751879,0.0959,0.009,0.251,65.77,0.1 ± 0.07,0.1 (0.01-0.25)
3-甲基戊酸,57,0,0.09912654385964913,0.12158306720951703,0.03685,9.97e-4,0.478281,122.65,0.1 ± 0.12,0.04 (0-0.48)
5-甲基糠醛,57,0,0.08652766666666667,0.06780320149503406,0.083257,0.002225,0.265626,78.36,0.09 ± 0.07,0.08 (0-0.27)
甘油,57,0,0.08446140350877193,0.03481511245332757,0.0776,0.0083,0.2488,41.22,0.08 ± 0.03,0.08 (0.01-0.25)
新植二烯2,57,0,0.07318331578947368,0.04222884044666542,0.063647,0.014634,0.182948,57.7,0.07 ± 0.04,0.06 (0.01-0.18)
茄酮,57,0,0.0674421052631579,0.027814307388261923,0.0654,0.0293,0.1366,41.24,0.07 ± 0.03,0.07 (0.03-0.14)
"2,3-二甲基-2-环戊烯酮",57,0,0.06587277192982456,0.06567663347933721,0.038137,0.001581,0.195129,99.7,0.07 ± 0.07,0.04 (0-0.2)
"2,3'-联吡啶",57,0,0.06586129824561404,0.06124966710112592,0.045364,0.007364,0.272141,93,0.07 ± 0.06,0.05 (0.01-0.27)
二羟基丙酸,57,0,0.0644140350877193,0.020376855205604602,0.0658,0.009,0.1093,31.63,0.06 ± 0.02,0.07 (0.01-0.11)
菠萝呋喃酮,57,0,0.060734140350877194,0.04688683868728081,0.060421,0.001565,0.19319,77.2,0.06 ± 0.05,0.06 (0-0.19)
beta-紫罗兰酮,57,0,0.05731578947368421,0.028704832777984093,0.0471,4e-4,0.1385,50.08,0.06 ± 0.03,0.05 (0-0.14)
2-甲基吡嗪,57,0,0.05622785964912281,0.06769470012000268,0.016266,2.66e-4,0.229819,120.39,0.06 ± 0.07,0.02 (0-0.23)
甲基环戊烯醇酮,57,0,0.044540228070175436,0.026808586218529707,0.044949,0.008521,0.122483,60.19,0.04 ± 0.03,0.04 (0.01-0.12)
DDMP,57,0,0.043701350877192985,0.04227944353832488,0.046797,1e-6,0.146549,96.75,0.04 ± 0.04,0.05 (0-0.15)
丙酸,57,0,0.04212856140350877,0.027354751796676374,0.041432,0.004892,0.134201,64.93,0.04 ± 0.03,0.04 (0-0.13)
3-氧代-α-紫罗兰醇2,57,0,0.041348877192982456,0.03847399402428967,0.027316,0.003331,0.180136,93.05,0.04 ± 0.04,0.03 (0-0.18)
吡啶,57,0,0.03934033333333333,0.028792219078085598,0.035302,8.98e-4,0.094872,73.19,0.04 ± 0.03,0.04 (0-0.09)
麦芽酚,57,0,0.038337508771929825,0.02380610609105722,0.036234,0.007484,0.12076,62.1,0.04 ± 0.02,0.04 (0.01-0.12)
异戊酸,57,0,0.03274617543859649,0.02549988228272745,0.026915,0.003937,0.125205,77.87,0.03 ± 0.03,0.03 (0-0.13)
香叶基丙酮,57,0,0.031885964912280705,0.026106412995636662,0.0226,0.006,0.1227,81.87,0.03 ± 0.03,0.02 (0.01-0.12)
麦司明,57,0,0.030911912280701753,0.027087726157194663,0.015957,0.00137,0.101212,87.63,0.03 ± 0.03,0.02 (0-0.1)
丁酸,57,0,0.028984,0.019476611506771765,0.023872,0.005721,0.099035,67.2,0.03 ± 0.02,0.02 (0.01-0.1)
2-环戊烯酮,57,0,0.02559598245614035,0.014254919276831155,0.025379,0.003723,0.065001,55.69,0.03 ± 0.01,0.03 (0-0.07)
愈创木酚,57,0,0.02394773684210526,0.013611451962182322,0.022539,0.007093,0.07564,56.84,0.02 ± 0.01,0.02 (0.01-0.08)
苯乙醇,57,0,0.023730736842105263,0.023729428452817156,0.013803,0.00279,0.113618,99.99,0.02 ± 0.02,0.01 (0-0.11)
γ-巴豆酰内酯,57,0,0.022224666666666667,0.013037135860321323,0.023304,7.89e-4,0.054082,58.66,0.02 ± 0.01,0.02 (0-0.05)
巨豆三烯酮2,57,0,0.021213105263157894,0.013798294949900008,0.01689,0.002462,0.061517,65.05,0.02 ± 0.01,0.02 (0-0.06)
乙酰基吡咯,57,0,0.015514982456140351,0.00798075609220443,0.013309,0.006317,0.040963,51.44,0.02 ± 0.01,0.01 (0.01-0.04)
苯甲醇,57,0,0.014251070175438597,0.009508581165489506,0.011506,0.003575,0.050317,66.72,0.01 ± 0.01,0.01 (0-0.05)
4-乙烯基愈创木酚,57,0,0.013575,0.012876748409716752,0.010516,0.002469,0.065296,94.86,0.01 ± 0.01,0.01 (0-0.07)
