样品编号,Sourness_Score,尼古丁,总糖,还原糖,总氮,总钾,总氯,糖碱比,氮碱比,两糖比,两糖差,钾氯比,苹果酸,草酸,柠檬酸,丙二酸,棕榈酸,硬脂酸,油酸,亚油酸,绿原酸,莨菪亭,芸香苷,叶黄素,胡萝卜素,茄酮,香叶基丙酮,beta-紫罗兰酮,氧化紫罗兰酮,降茄二酮,3-羟基-β-二氢大马酮,3-氧代-α-紫罗兰醇,巨豆三烯酮,二氢猕猴桃内酯,新植二烯,丙酮,"2,4-二甲基-3-戊醇",叔丁醇,吡啶,3-羟基-2-丁酮,羟基丙酮,2-环戊烯酮,1-羟基-2-丁酮,乙酸,乙二醇二乙酸酯,乙酰氧基丙酮,糠醛,2-乙酰基呋喃,丙酸,异丁酸,2-羟基丙基乙酸酯,5-甲基糠醛,"2,3-丁二醇","4-环戊烯-1,3-二酮",丙二醇,1-羟基丙-2-基乙酸酯,γ-丁内酯,丙烯酸,糠醇,2-甲基丁酸,5-甲基-2(5H)-呋喃酮,N-甲基吡咯烷酮,3-甲基-2-(5H)-呋喃酮,γ-松油烯,2(5H)-呋喃酮,乙酰胺,"1,2-环戊二酮",甲基苯乙酮,3-甲基戊酸,"3-甲氧基-1,2-丙二醇",2-环己烯醇,草酰胺,甲基环戊烯醇酮,2-甲基-5-(甲硫基)呋喃,对甲氧基苯酚,异巴比妥酸,尼古丁2,紫罗醇,苯乙醇,新植二烯2,甲基麦芽酚,2-乙酰基吡咯,苯酚,羟基乙酰呋喃,2-吡咯甲醛,呋喃酮,"2,3-二氢-2-甲基苯并呋喃",2-吡咯烷酮,三乙酸甘油酯,2-羟基-丁酸酮,5-乙酰氧基甲基-2-糠醛,西柏烯,对乙烯基愈疮木酚,巨豆三烯酮2,棕榈酸甲酯,"3-羟基丙烷-1,2-二乙酸二酯",DDMP,乙酸甘油酯,龙涎酮,对羟基苯乙烯,3-羟基吡啶,5-羟甲基糠醛
GA1,2.82,0.581716728,23.86064269,22.21111726,1.565869752,2.006445783,0.48721101,38.18201573,2.691808017,0.930868357,1.649525426,4.118227505,29.17470761,24.75578882,13.86125179,2.26252399,2.827856647,0.964868355,0.772313079,2.770183655,6.914864258,0,12.78064096,79.28137502,19.86409281,0.800604093,0.276748315,0.122071978,0.181017138,8.328448714,0.487389331,6.910353487,0.155397785,0.85468646,15.21358992,0.561788724,5.942255706,25.62486268,6.678671482,7.243901478,336.5199531,2.504109784,7.01260698,425.1383559,24.32019598,24.32019598,21.46776761,3.760705298,6.478203974,3.599222267,3.9696619,27.47011761,6.796753278,8.10468373,146.5836612,2.52778472,5.384744928,2.103737214,91.17105086,25.59314755,1.83586615,45.4950702,1.272758248,56.75664696,10.44346699,2.194790039,10.18788069,5.030034007,181.957694,1.787888581,2.640797933,1.254178046,7.583428443,1.92173374,3.338335573,12.21328609,1336.916165,4.359974395,2.939429693,42.11640623,3.426806826,1.947186554,20.07104462,4.407159473,4.23210711,11.05052594,0.725971912,3.362905681,2787.06501,3.513951153,3.29172314,1.205819603,4.342294618,1.159199485,1.749235591,32.99121264,81.29202514,246.1331483,0.57877007,5.470159366,32.09475223,140.507561
GB1,2.53,0.453688581,18.09732707,16.85228082,1.542981255,2.348656627,1.354913368,37.14504077,3.400970008,0.931202755,1.245046248,1.733436751,36.40188699,33.1980575,12.43366056,2.191543228,3.228250542,1.047955381,0.779922718,2.55694518,7.687460043,0,8.044622571,144.2550791,23.60777738,0.920669908,0.317273799,0.156982185,0.206662221,9.59630315,0.410782279,5.427341917,0.118434728,0.848073374,10.31071386,0.772897052,6.661966591,28.62392821,6.449591572,10.17971382,391.7656322,3.155104504,7.844750136,473.2210068,29.99170163,29.99170163,26.73264946,4.427764568,7.318178746,2.878631207,3.84650645,35.89967105,6.054653186,6.902240118,192.4528318,2.846860698,5.345674919,2.129745641,89.49457095,21.81306749,1.897647993,52.2671303,1.620556496,66.69594245,11.28000082,2.900746949,9.285351672,5.450785823,168.8169264,4.112679333,3.504823823,2.075378559,8.052571226,3.318016456,3.552065386,16.42231377,1296.005293,5.030764571,4.00538721,32.0486888,5.600772297,2.381826741,21.02261711,5.301938435,5.205976058,9.944103796,1.186507934,3.037540805,3171.891875,5.219026181,2.791409704,0.971394075,3.469396025,1.232081312,1.598972629,38.30557786,96.43531156,343.6066912,0.137745042,4.06877291,41.34456858,161.9412656
GK1,3,0.989706337,13.37187885,12.25815092,2.377844311,1.972054217,1.777692823,12.38564457,2.402575614,0.916711186,1.113727929,1.109333509,38.76976987,37.27548766,23.55459984,3.564769155,2.846449223,0.914642241,0.681042215,2.151403237,5.474024915,0,6.285221351,136.312504,24.7315511,0.656996938,0.355605256,0.15682393,0.194375203,6.812005686,0.47668059,6.886296547,0.229231555,1.038630148,14.25274435,0.546210586,6.589486363,28.41270153,4.962154787,6.069619904,175.0545874,1.624945244,3.746680384,316.5068439,17.63111722,17.63111722,6.987881631,2.808047652,4.46820411,3.65910884,4.359951036,20.44586532,4.211477728,3.24332631,151.9330043,2.573358674,4.617987114,2.496675381,27.64945451,22.36264434,1.440300771,46.7173777,0.978621512,44.27888602,8.688387481,6.269881933,4.035566472,4.88989103,198.3578799,4.438927028,1.492061542,2.423310173,5.129757068,5.575032867,2.459372452,16.31669037,1987.589496,5.07367429,6.464962332,43.21058711,3.749290672,3.169114919,17.31876343,2.797485047,4.219598799,6.12729687,1.982264366,5.371431179,2806.795231,2.460504522,1.877760193,1.085024531,4.09400077,1.587349498,0.933950792,37.44552459,63.8308147,217.8932747,0.782808015,4.365894044,45.48176698,34.46219655
GA2,3,0.371176348,30.19290683,27.76240565,1.351,2.757861446,0.358235517,74.79572924,3.639779328,0.919500921,2.430501179,7.698459008,29.59108458,14.69005807,10.06742692,1.958738192,3.011259669,0.868369947,0.667003993,2.436578053,8.121275538,0,17.64869772,73.08921877,18.19673363,0.621124386,0.206325254,0.096057478,0.142863039,6.433203649,0.337425418,4.641643178,0.141907905,0.716579476,9.768622454,0.789118657,6.746695025,27.80672443,6.163942377,9.886294626,535.2998963,3.24772,12.14644758,573.7385081,26.37345323,26.37345323,13.54515418,3.284007538,11.57208418,2.257727942,4.17038214,15.83486166,4.757380782,5.719023299,159.3756581,2.520892455,7.910087813,2.252331552,128.3034141,13.10938791,1.49922036,43.85119571,1.439574992,27.90472403,8.54535982,1.822284933,8.778521784,1.928130223,104.890355,1.086211012,2.617731718,0.813134887,9.93460794,2.288723584,2.675894563,11.39338582,1073.840908,3.370274283,1.865134241,21.14972671,3.252132253,1.375385319,18.38463572,2.983633667,2.33609637,16.62799194,0.573651408,2.2932027,2221.039191,5.455091496,1.958511917,0.328191565,2.345863237,0.899592792,2.023697181,32.29177347,104.3550574,318.5623538,0.156567398,2.214089022,20.975904,99.3689466
GB2,3.52,0.308590922,27.17162742,25.15694013,1.121378621,2.945644578,1.437463333,81.52197081,3.633867822,0.925853271,2.014687291,2.049196324,32.66536724,15.06177048,14.50512567,2.115018648,2.868556399,0.830651621,0.300101234,2.052115062,11.37767271,0,15.57819592,20.00424222,8.040979859,0.455626815,0.219179618,0.083151249,0.132444381,4.685605226,0.378201711,4.237510863,0.119159289,0.523456949,6.848538476,0.663741879,6.368440991,27.48503909,4.397298181,10.5246243,456.703681,2.74448237,10.12113094,449.7258187,25.67353104,25.67353104,22.8294515,3.659969752,8.896914715,1.838754312,3.997313425,25.36986263,3.070870633,6.380510003,167.0943257,2.7965535,5.934099319,2.441747643,111.8752839,10.0797566,1.778418189,47.2577503,1.298835133,21.04250205,11.12190187,1.972739758,9.504619726,1.935223309,87.84110993,2.35172052,3.508611663,1.500737052,8.156028641,1.963040527,2.744447845,17.47736466,789.6526814,3.273932889,2.321962258,11.97274126,4.100565821,1.452174213,20.63307457,5.176116369,2.901686692,10.05814547,0.928568035,2.017525136,2472.860344,5.08557193,2.58345559,0.137916355,3.32493497,1.16033212,0.401075895,31.34605221,72.86925371,252.6156334,0.196075408,2.417538939,18.89830005,239.7072665
GK2,4.01,3.159160156,4.470790504,3.555167053,2.787948207,1.815216867,1.474298101,1.125351954,0.882496635,0.795198757,0.915623451,1.231241407,127.2418524,19.25064234,64.46624674,2.489120515,2.232346344,0.744369509,0.27174772,0.960718264,4.091132812,0.003414753,9.370220728,201.1128267,45.72557264,0.24528109,0.416852722,0.208674973,0.193171594,2.464425445,0.429859616,9.196549577,0.588623954,1.236392587,23.43799683,1.066438208,7.215999695,29.46807519,0.940498145,5.113650606,104.9326933,1.593808494,2.557365811,294.8670417,12.46904492,12.46904492,3.122571902,2.210557617,5.995232597,4.171378292,5.222827828,6.042074964,3.752148315,1.770288678,203.8050196,3.28903352,6.07635828,3.587313801,20.68596842,21.2736118,1.327250531,52.70809969,1.018659897,30.54804732,8.740882911,13.51021132,0.618609414,2.719978055,153.9665216,5.725198945,0.595341371,1.632312966,3.460070234,4.545660388,3.054839188,10.6694263,4900.250238,6.696089849,6.077129798,87.03494025,4.088669205,3.782897898,21.05568806,0.675979927,4.498918706,4.265070533,2.323356315,9.700952199,2442.386074,1.882468484,0.768083175,0.199101723,3.05922408,1.961566061,1.045610486,44.10897662,17.04850285,261.1477051,0.035830522,4.094273787,62.15995558,2.183601834
GA3,3.51,1.126769277,24.36910402,23.04078841,2.186713287,3.490819277,0.178142849,20.44854158,1.940693034,0.945491816,1.328315601,19.59561838,72.87507676,7.757793182,19.62855401,0.672566068,2.548866291,0.734906972,0.33440274,1.373586089,3.205383207,0.024417137,8.884795295,109.8488792,27.2750472,0.188473832,0.137643505,0.08618035,0.10029419,1.864560002,0.294047355,4.96079617,0.243929669,0.621767881,15.15698225,0.676810381,6.72881484,28.17916196,9.352614931,9.206278913,426.8135464,3.495528635,12.2007927,640.0650715,28.78625245,28.78625245,14.60847142,3.471278555,12.54049773,1.14661042,3.54162353,18.44733706,3.965785854,9.037437298,163.136456,2.537113731,7.513001134,4.03986943,96.43171888,4.811130261,1.63774841,42.3718377,1.483246681,13.25090063,8.416936851,3.448800203,6.34070032,0.915577455,34.23855292,1.766064035,1.492156842,0.833786137,8.632011162,0.652665863,3.053109539,13.96957454,2692.576519,2.609287406,2.592635037,41.24264995,3.399505536,2.802523894,19.05415054,2.572559543,4.141337716,21.26704326,0.398614433,4.778575909,1919.790803,3.311926804,0.816145367,0.147038364,1.979420894,0.746771961,2.785170262,30.21744311,147.1005161,387.1206022,0.267893,2.5814228,47.21595333,45.44934646
GB3,4.51,0.893755591,26.4217254,21.47465563,1.9897,2.181524096,1.606040078,24.02743642,2.226223836,0.812765075,4.947069771,1.358324818,41.02653628,10.21431568,32.10008916,1.128935072,3.611021263,0.874377309,0.293784474,1.099560718,8.325652046,0,11.29449181,34.59472248,8.421623709,0.241667609,0.198204779,0.104555707,0.147989282,2.426268311,0.347483593,6.983717968,0.209703891,0.818170429,14.53930314,0.339481044,5.986885472,25.33647709,4.728923673,5.870486577,236.2247574,1.338379438,4.550781357,313.2666301,17.87640929,17.87640929,15.27268904,2.590087433,5.307671749,1.826806939,3.408978204,24.74374246,2.30516996,4.320409243,135.6785198,2.337464025,4.31954265,1.965793774,46.91581259,8.613541227,1.399121212,39.93965955,0.788046853,7.878275438,5.665427474,2.115030219,3.851869194,1.759510155,57.67170759,2.680162989,1.428777982,1.651612978,4.062936268,3.227359986,1.82571077,15.08541554,1296.498407,2.612950612,1.901138453,5.455319226,2.841553855,1.483232942,12.23975303,4.506425558,2.424726177,5.523219744,0.991693086,3.108047482,1853.226124,2.227277224,1.191694716,0.115364459,1.285024083,0.644540919,0.89492922,21.08147607,64.51348518,119.082063,0.585785259,1.179447263,18.64547576,151.0717229
GK3,4.72,0.515582501,22.04726535,20.2824026,1.781754736,3.155771084,0.121905812,39.33881111,3.455809175,0.919950945,1.764862752,25.88696164,49.18711543,13.68182697,21.75721119,1.725783203,2.64070906,0.749655038,0.276602995,2.105609004,5.202213454,0.008705032,13.19024893,113.7553838,23.71576642,0.233369821,0.192109197,0.08341245,0.136273537,2.338646469,0.340352619,2.62579219,0.109141216,1.038990684,4.358624884,0.916547411,6.684297741,28.01521546,6.788919049,8.76078924,417.3849001,3.362324396,11.6329403,453.4152032,22.56151342,22.56151342,8.843579892,2.053472686,9.986734591,1.144549456,4.258638913,9.51764375,3.802833122,4.212327833,158.7799092,2.589989396,7.975091536,2.45616627,84.72081088,5.405992041,1.503240315,40.74123348,1.194533822,16.85983456,8.148140926,3.611205199,9.41764314,1.138002513,34.20694306,1.367248665,1.746289988,0.799857946,9.011155793,0.956260144,2.436926467,9.152228985,1417.531641,3.121410384,2.078253897,31.94263703,2.658824072,1.921653674,20.82855518,2.18611569,4.219446938,14.35620017,0.525453211,2.793830411,1953.24892,4.402023849,1.067767987,0.338043831,3.618899563,1.143005702,0.835010265,25.41663473,72.21951932,348.5249404,0.48967276,2.805903151,33.1433339,53.99001122
GB1,3,0.177271946,30.49419212,28.29660928,1.1817,1.563228916,1.127822911,159.622602,6.666029381,0.927934381,2.197582845,1.386058839,19.06426951,20.55934862,22.7126145,1.426366428,2.86192775,0.837231924,0.670540783,2.393693659,7.159864047,0.010825132,13.95432724,45.04266343,13.41553016,0.54373023,0.226390755,0.129549115,0.1661082,5.615947515,0.765884505,3.869537891,0.104907294,0.738707074,6.421456005,0.799870971,7.500324602,28.80487857,5.265567862,11.36928213,487.7481492,2.977516925,9.45690221,451.8548319,29.46801464,29.46801464,35.89002185,5.901085598,9.503744486,7.90891593,4.900170117,40.81541416,5.664749609,6.48607028,167.3262193,2.92233576,5.839283834,2.385907353,105.2649133,48.47787508,2.355352803,51.64481918,1.714375544,26.99306227,12.6190305,1.944646121,11.00543235,5.631422244,241.9383584,2.570802743,4.008005803,2.365065454,9.042776356,3.382700657,3.03323824,24.23367226,447.7474177,5.264802238,2.892609287,12.41236865,6.278291473,1.428691366,17.60647028,10.0534555,2.302018099,11.03737832,1.098758709,2.840009762,3336.374163,7.121521171,5.530484587,0.92271613,3.969946386,0.831067848,1.599565143,40.25939548,96.63456239,196.6628017,4.587800681,3.859065652,16.64228281,414.3837029
