样品编号,Sourness_Score,尼古丁,总糖,还原糖,总氮,总钾,总氯,糖碱比,氮碱比,两糖比,两糖差,钾氯比,苹果酸,草酸,柠檬酸,丙二酸,乳酸,棕榈酸,硬脂酸,油酸,亚油酸,绿原酸,莨菪亭,芸香苷,叶黄素,胡萝卜素,茄酮,香叶基丙酮,beta-紫罗兰酮,氧化紫罗兰酮,降茄二酮,3-羟基-β-二氢大马酮,3-氧代-α-紫罗兰醇,巨豆三烯酮,二氢猕猴桃内酯,新植二烯,磷酸,甘油,脯氨酸,尼古丁2,二羟基丙酸,苹果酸2,三羟基丁酸,柠檬酸2,果糖,葡萄糖,肌醇,蔗糖,糠醛,糠醇,5-甲基糠醛,菠萝呋喃酮,麦芽酚,DDMP,γ-巴豆酰内酯,二氢猕猴桃内酯2,γ-丁内酯,苯酚,愈创木酚,邻甲酚,间甲酚,对甲酚,4-乙烯基愈创木酚,"2,6-二甲基苯酚","2,6-二甲氧基苯酚",丁香酚,异丁香酚,2-环戊烯酮,3-甲基-2-环戊烯酮,"2,3-二甲基-2-环戊烯酮",3-乙基-2-环戊烯酮,甲基环戊烯醇酮,乙基环戊烯醇酮,1-茚酮,巨豆三烯酮2,3-羟基-β-二氢大马酮2,3-氧代-α-紫罗兰醇2,乙酸,丙酸,丁酸,异戊酸,3-甲基戊酸,吡咯,乙酰基吡咯,2-吡咯烷酮,吡啶,2-甲基吡啶,3-甲基吡啶,3-乙基吡啶,3-羟基-6-甲基吡啶,"2,3'-联吡啶",尼古丁3,麦司明,尼可他因,2-甲基吡嗪,吲哚,3-甲基吲哚,喹啉,异戊酰胺,新植二烯2,苯甲醇,苯乙醇
K1,3.62,1.82 ,28.97 ,20.47 ,2.13 ,1.79 ,0.32 ,15.92 ,1.17 ,0.71 ,8.50 ,5.59 ,62.0200 ,10.6800 ,7.3700 ,2.1500 ,0.3300 ,1.4000 ,0.3100 ,0.4300 ,0.6100 ,12.4540 ,0.1230 ,14.4110 ,48.5300 ,51.4970 ,0.0355 ,0.0063 ,0.0279 ,0.1452 ,0.1809 ,0.0624 ,1.2548 ,0.1197 ,0.2640 ,26.5279 ,0.1653 ,0.0713 ,0.8688 ,0.7662 ,0.0555 ,1.7320 ,0.3727 ,0.0468 ,5.4760 ,8.7753 ,0.9588 ,7.3222 ,0.167146,0.722609,0.132523,0.082646,0.040610,0.096163,0.026867,0.003228,0.010319,0.108447,0.021426,0.004459,0.005984,0.005044,0.012344,0.000963,0.003053,0.000211,0.001523,0.033281,0.008365,0.132523,0.001282,0.043006,0.007914,0.001086,0.016534,0.003842,0.024076,0.232325,0.051439,0.005868,0.008770,0.002761,0.000741,0.013087,0.005791,0.056434,0.005809,0.008276,0.000904,0.003843,0.026154,3.566381,0.013767,0.002857,0.016266,0.001924,0.000929,0.003375,0.001427,0.058559,0.006909,0.009061
K2,1.31,1.77 ,33.01 ,18.30 ,2.25 ,1.57 ,0.15 ,18.65 ,1.27 ,0.55 ,14.71 ,10.47 ,24.5000 ,8.8400 ,2.2200 ,2.0400 ,0.3300 ,1.9500 ,0.4300 ,0.6400 ,0.8700 ,15.4210 ,0.0910 ,19.6850 ,43.4570 ,37.9670 ,0.0315 ,0.0070 ,0.0304 ,0.1303 ,0.1349 ,0.0614 ,1.5006 ,0.1355 ,0.2888 ,28.7836 ,0.2207 ,0.0914 ,1.1850 ,0.9261 ,0.0669 ,1.0917 ,0.4835 ,0.0209 ,4.9887 ,8.4200 ,1.3495 ,15.1774 ,0.159551,0.805579,0.123715,0.099980,0.042206,0.098272,0.026059,0.003298,0.009350,0.120200,0.021201,0.002979,0.005314,0.004485,0.012741,0.000664,0.003128,0.000196,0.001537,0.030717,0.007850,0.123715,0.001300,0.047338,0.009951,0.000996,0.013983,0.003260,0.014773,0.258564,0.061066,0.005721,0.010618,0.002623,0.000948,0.011318,0.006347,0.056175,0.007005,0.009615,0.001046,0.003700,0.025490,3.557722,0.011393,0.002873,0.013761,0.002152,0.001023,0.003487,0.001855,0.039421,0.007411,0.007054
K9,3.07,1.87 ,33.82 ,28.34 ,1.70 ,2.41 ,0.38 ,18.09 ,0.91 ,0.84 ,5.48 ,6.34 ,24.3821 ,5.4886 ,4.0751 ,1.8708 ,0.2844 ,1.7372 ,0.2388 ,0.7741 ,0.6296 ,11.9430 ,0.0840 ,10.1010 ,20.9160 ,5.6490 ,0.0725 ,0.0584 ,0.0004 ,0.2955 ,0.2963 ,0.2292 ,3.5035 ,0.2852 ,0.7755 ,23.1306 ,0.2783 ,0.0693 ,0.3586 ,0.8012 ,0.0767 ,1.1478 ,0.2381 ,0.0640 ,7.7003 ,13.0454 ,1.1045 ,4.2885 ,0.131219,0.752036,0.089053,0.074018,0.029659,0.082077,0.028011,0.002840,0.010113,0.086650,0.014933,0.002557,0.003581,0.004079,0.012285,0.000223,0.003753,0.000116,0.001233,0.026089,0.007818,0.089053,0.001078,0.044770,0.008061,0.000817,0.016890,0.004351,0.016936,0.165668,0.053285,0.018796,0.012815,0.001250,0.000278,0.008000,0.003480,0.044580,0.004255,0.005947,0.000833,0.002488,0.016112,3.623370,0.008203,0.003242,0.005109,0.001412,0.000536,0.002930,0.001230,0.033648,0.003575,0.002790
K10,1.27,2.28 ,32.32 ,25.70 ,1.69 ,1.87 ,0.43 ,14.18 ,0.74 ,0.80 ,6.62 ,4.35 ,27.1215 ,6.8974 ,4.3267 ,2.1354 ,0.3253 ,1.4808 ,0.2031 ,0.6288 ,0.6663 ,15.0720 ,0.0900 ,13.2740 ,20.6740 ,6.7650 ,0.0893 ,0.0226 ,0.0461 ,0.3081 ,0.4103 ,0.2138 ,1.9379 ,0.2380 ,0.8413 ,27.7464 ,0.2750 ,0.0570 ,0.3900 ,0.8853 ,0.0656 ,1.0567 ,0.2196 ,0.0558 ,6.7611 ,11.0923 ,0.8643 ,4.7178 ,0.242775,0.946702,0.167878,0.084705,0.045489,0.092527,0.031654,0.003009,0.009191,0.116396,0.022539,0.003905,0.004896,0.005312,0.015404,0.000324,0.004837,0.000238,0.001746,0.034441,0.008803,0.167878,0.001384,0.053316,0.010037,0.001122,0.021924,0.004793,0.013796,0.226258,0.061202,0.023285,0.012077,0.000997,0.001833,0.009524,0.003201,0.065572,0.004722,0.008505,0.001023,0.002637,0.017102,4.201021,0.009601,0.003920,0.007165,0.002304,0.000781,0.003818,0.001340,0.038465,0.005080,0.003780
K11,3.52,1.03 ,37.71 ,31.18 ,1.37 ,1.35 ,0.54 ,36.61 ,1.33 ,0.83 ,6.53 ,2.50 ,28.0587 ,6.8490 ,5.4322 ,1.5177 ,0.2683 ,1.8409 ,0.1926 ,0.4058 ,0.5669 ,12.7610 ,0.1110 ,10.9590 ,24.4930 ,5.8840 ,0.0499 ,0.0109 ,0.0409 ,0.2260 ,0.1443 ,0.1920 ,2.8847 ,0.1532 ,0.8390 ,19.4952 ,0.2717 ,0.0609 ,0.3398 ,0.4198 ,0.0658 ,0.7388 ,0.2029 ,0.0364 ,8.4155 ,13.7440 ,0.8553 ,4.5701 ,0.211545,0.546516,0.121859,0.086287,0.038718,0.070953,0.030645,0.003026,0.005053,0.075619,0.011665,0.002727,0.004457,0.003889,0.009434,0.001630,0.003112,0.000203,0.000899,0.023639,0.006184,0.115584,0.001036,0.047692,0.007943,0.000762,0.016513,0.004759,0.020738,0.184229,0.041432,0.019415,0.020216,0.001262,0.000386,0.006846,0.006083,0.032971,0.002895,0.005007,0.000514,0.002499,0.011357,2.924667,0.002539,0.002638,0.002600,0.000683,0.000385,0.003083,0.000866,0.023006,0.005159,0.004694
K12,2.05,1.11 ,38.79 ,31.32 ,1.42 ,0.97 ,0.43 ,34.95 ,1.28 ,0.81 ,7.47 ,2.26 ,23.6589 ,7.1907 ,4.8587 ,1.2445 ,0.3622 ,1.5548 ,0.1818 ,0.3335 ,0.5273 ,13.5630 ,0.1270 ,13.1440 ,17.2640 ,3.8160 ,0.0316 ,0.0079 ,0.0342 ,0.1831 ,0.1135 ,0.1577 ,1.7057 ,0.1389 ,0.7795 ,18.9483 ,0.2631 ,0.0573 ,0.4236 ,0.4354 ,0.0960 ,0.6942 ,0.2269 ,0.0317 ,8.8692 ,14.2558 ,0.7457 ,5.4802 ,0.203273,0.529843,0.123719,0.087357,0.036923,0.063255,0.027046,0.002512,0.004199,0.073383,0.011289,0.002544,0.003853,0.003310,0.008040,0.001513,0.002683,0.000152,0.000692,0.020473,0.006311,0.123741,0.000940,0.044021,0.006963,0.000683,0.013038,0.003159,0.013250,0.172795,0.042649,0.014322,0.014322,0.001007,0.000518,0.006526,0.005353,0.034654,0.002970,0.004600,0.000500,0.002294,0.009505,2.883415,0.002256,0.002567,0.002382,0.000699,0.000326,0.003184,0.000868,0.017567,0.004742,0.004350
K13,1.25,2.03 ,32.51 ,25.94 ,1.60 ,1.91 ,0.32 ,16.01 ,0.79 ,0.80 ,6.57 ,5.97 ,42.9200 ,11.1800 ,3.4700 ,1.9600 ,0.4700 ,1.7700 ,0.4100 ,0.4700 ,1.0400 ,11.4730 ,0.1430 ,7.8570 ,39.5710 ,34.1480 ,0.0499 ,0.0082 ,0.0319 ,0.1851 ,0.2689 ,0.1659 ,1.4552 ,0.1634 ,0.3002 ,32.8216 ,0.2801 ,0.0776 ,0.3316 ,0.9100 ,0.0674 ,1.3529 ,0.3666 ,0.0221 ,8.0282 ,11.3906 ,1.2263 ,5.2480 ,0.252270,0.724716,0.147669,0.118293,0.047705,0.110350,0.034567,0.003325,0.011538,0.134742,0.022650,0.005237,0.008371,0.007095,0.011927,0.002711,0.005125,0.000380,0.001803,0.038800,0.010512,0.147690,0.001258,0.069069,0.014544,0.001467,0.029997,0.006170,0.029182,0.230252,0.064561,0.029853,0.029469,0.002495,0.001561,0.009565,0.008350,0.067751,0.004230,0.009312,0.001032,0.005016,0.026364,5.235295,0.005699,0.003552,0.002986,0.002579,0.001061,0.003931,0.001365,0.053258,0.009191,0.007655
K14,0.74,3.73 ,22.37 ,19.68 ,2.32 ,1.93 ,0.39 ,6.00 ,0.62 ,0.88 ,2.69 ,4.95 ,34.7200 ,13.4700 ,3.7800 ,3.1900 ,0.4000 ,1.4500 ,0.3400 ,0.5600 ,1.1700 ,10.5620 ,0.2350 ,10.2390 ,44.8300 ,51.8150 ,0.0340 ,0.0070 ,0.0310 ,0.1510 ,0.1800 ,0.1540 ,1.0830 ,0.1610 ,0.2820 ,32.1890 ,0.3979 ,0.0792 ,0.4929 ,1.5562 ,0.0667 ,1.2801 ,0.3038 ,0.0331 ,6.1640 ,6.9253 ,1.1043 ,1.7922 ,0.208400,0.548745,0.161656,0.112105,0.048363,0.101183,0.030319,0.003267,0.010615,0.165245,0.038519,0.005430,0.010376,0.009106,0.014744,0.004881,0.014083,0.000706,0.003707,0.040584,0.011912,0.161666,0.002094,0.071141,0.017042,0.002038,0.039264,0.007814,0.036437,0.207921,0.070078,0.054668,0.055476,0.003420,0.002973,0.015758,0.012285,0.076886,0.005088,0.012215,0.001364,0.009097,0.048787,8.026016,0.016146,0.004428,0.007349,0.006062,0.002109,0.004635,0.002319,0.075242,0.012223,0.013543
K15,1.62,2.03 ,28.11 ,22.61 ,1.85 ,1.55 ,0.78 ,13.85 ,0.91 ,0.80 ,5.50 ,1.99 ,66.2500 ,12.5600 ,5.9400 ,2.9100 ,0.3300 ,1.7300 ,0.3800 ,0.5100 ,0.7600 ,12.5810 ,0.1390 ,8.2250 ,36.8030 ,31.0850 ,0.0390 ,0.0080 ,0.0280 ,0.1460 ,0.1950 ,0.1590 ,1.3020 ,0.1540 ,0.2560 ,33.5860 ,0.1995 ,0.0664 ,0.4834 ,0.8632 ,0.0499 ,1.3325 ,0.2975 ,0.0537 ,6.2806 ,9.5945 ,1.2385 ,4.4195 ,0.261748,0.781936,0.195129,0.062055,0.050550,0.088209,0.031444,0.003595,0.003277,0.113578,0.021972,0.005151,0.006705,0.005611,0.016682,0.001203,0.004645,0.000333,0.002203,0.035653,0.007479,0.195129,0.001251,0.045460,0.007251,0.001137,0.026866,0.008610,0.030343,0.163873,0.051856,0.007345,0.012301,0.002448,0.000809,0.011722,0.005839,0.061724,0.005055,0.009569,0.000835,0.003639,0.029569,3.986131,0.015957,0.003539,0.012606,0.001832,0.000833,0.004464,0.001506,0.065981,0.009250,0.011267
K16,1.13,2.76 ,26.99 ,21.63 ,1.85 ,1.16 ,0.83 ,9.78 ,0.67 ,0.80 ,5.36 ,1.40 ,55.8800 ,12.1000 ,6.3400 ,3.4500 ,0.3400 ,1.6900 ,0.3600 ,0.5200 ,1.0300 ,13.9770 ,0.1700 ,10.3950 ,30.4710 ,27.3470 ,0.0470 ,0.0060 ,0.0260 ,0.1600 ,0.2080 ,0.1340 ,1.4730 ,0.1250 ,0.3220 ,30.0460 ,0.1738 ,0.0673 ,0.4854 ,1.2043 ,0.0400 ,1.1447 ,0.2806 ,0.0537 ,6.3581 ,9.4487 ,1.2905 ,4.5292 ,0.258492,0.734372,0.190301,0.062286,0.060435,0.105359,0.023814,0.003640,0.001048,0.118702,0.022608,0.004331,0.006580,0.005505,0.018621,0.001389,0.006970,0.000434,0.003228,0.034541,0.007232,0.190273,0.001085,0.044949,0.006513,0.001073,0.026530,0.008533,0.034451,0.172806,0.050870,0.007572,0.009726,0.002410,0.001638,0.009779,0.005913,0.071550,0.005129,0.012680,0.001048,0.003509,0.041211,4.787869,0.017921,0.004238,0.009658,0.002078,0.000828,0.004540,0.001446,0.056497,0.012478,0.012879
