Display_Name,Computational_Name
样品编号,样品编号
Sourness_Score,Sourness_Score
尼古丁,尼古丁
总糖,总糖
还原糖,还原糖
总氮,总氮
总钾,总钾
总氯,总氯
糖碱比,糖碱比
氮碱比,氮碱比
两糖比,两糖比
两糖差,两糖差
钾氯比,钾氯比
苹果酸,苹果酸
草酸,草酸
柠檬酸,柠檬酸
丙二酸,丙二酸
乳酸,乳酸
棕榈酸,棕榈酸
硬脂酸,硬脂酸
油酸,油酸
亚油酸,亚油酸
绿原酸,绿原酸
莨菪亭,莨菪亭
芸香苷,芸香苷
叶黄素,叶黄素
胡萝卜素,胡萝卜素
茄酮,茄酮
香叶基丙酮,香叶基丙酮
beta-紫罗兰酮,beta.紫罗兰酮
氧化紫罗兰酮,氧化紫罗兰酮
降茄二酮,降茄二酮
3-羟基-β-二氢大马酮,X3.羟基.β.二氢大马酮
3-氧代-α-紫罗兰醇,X3.氧代.α.紫罗兰醇
巨豆三烯酮,巨豆三烯酮
二氢猕猴桃内酯,二氢猕猴桃内酯
新植二烯,新植二烯
磷酸,磷酸
甘油,甘油
脯氨酸,脯氨酸
尼古丁2,尼古丁2
二羟基丙酸,二羟基丙酸
苹果酸2,苹果酸2
三羟基丁酸,三羟基丁酸
柠檬酸2,柠檬酸2
果糖,果糖
葡萄糖,葡萄糖
肌醇,肌醇
蔗糖,蔗糖
糠醛,糠醛
糠醇,糠醇
5-甲基糠醛,X5.甲基糠醛
菠萝呋喃酮,菠萝呋喃酮
麦芽酚,麦芽酚
DDMP,DDMP
γ-巴豆酰内酯,γ.巴豆酰内酯
二氢猕猴桃内酯2,二氢猕猴桃内酯2
γ-丁内酯,γ.丁内酯
苯酚,苯酚
愈创木酚,愈创木酚
邻甲酚,邻甲酚
间甲酚,间甲酚
对甲酚,对甲酚
4-乙烯基愈创木酚,X4.乙烯基愈创木酚
"2,6-二甲基苯酚",X2.6.二甲基苯酚
"2,6-二甲氧基苯酚",X2.6.二甲氧基苯酚
丁香酚,丁香酚
异丁香酚,异丁香酚
2-环戊烯酮,X2.环戊烯酮
3-甲基-2-环戊烯酮,X3.甲基.2.环戊烯酮
"2,3-二甲基-2-环戊烯酮",X2.3.二甲基.2.环戊烯酮
3-乙基-2-环戊烯酮,X3.乙基.2.环戊烯酮
甲基环戊烯醇酮,甲基环戊烯醇酮
乙基环戊烯醇酮,乙基环戊烯醇酮
1-茚酮,X1.茚酮
巨豆三烯酮2,巨豆三烯酮2
3-羟基-β-二氢大马酮2,X3.羟基.β.二氢大马酮2
3-氧代-α-紫罗兰醇2,X3.氧代.α.紫罗兰醇2
乙酸,乙酸
丙酸,丙酸
丁酸,丁酸
异戊酸,异戊酸
3-甲基戊酸,X3.甲基戊酸
吡咯,吡咯
乙酰基吡咯,乙酰基吡咯
2-吡咯烷酮,X2.吡咯烷酮
吡啶,吡啶
2-甲基吡啶,X2.甲基吡啶
3-甲基吡啶,X3.甲基吡啶
3-乙基吡啶,X3.乙基吡啶
3-羟基-6-甲基吡啶,X3.羟基.6.甲基吡啶
"2,3'-联吡啶",X2.3..联吡啶
尼古丁3,尼古丁3
麦司明,麦司明
尼可他因,尼可他因
2-甲基吡嗪,X2.甲基吡嗪
吲哚,吲哚
3-甲基吲哚,X3.甲基吲哚
喹啉,喹啉
异戊酰胺,异戊酰胺
新植二烯2,新植二烯2
苯甲醇,苯甲醇
苯乙醇,苯乙醇
